Age;Gender;Occupation;Game_Type;Daily_Gaming_Hours;Primary_Gaming_Time;Sleep_Hours;Stress_Level;Focus_Level;Academic_or_Work_Score;Productivity_Level;Performance_Impact
21;Male;Working Professional;Action;4.0;Morning;4.6;6;4;69;66;Negative
35;Female;Student;Sports;1.0;Night;5.4;2;7;67;72;Neutral
26;Male;Student;Puzzle;2.0;Morning;8.0;4;8;82;82;Positive
32;Male;Working Professional;Action;1.0;Night;4.9;7;7;71;66;Neutral
19;Male;Working Professional;Action;2.1;Morning;7.0;7;7;67;63;Neutral
29;Female;Student;Casual;5.3;Evening;6.0;9;8;78;75;Neutral
35;Male;Student;Sports;4.4;Evening;7.2;3;7;95;92;Neutral
25;Male;Working Professional;Sports;2.0;Evening;8.2;5;8;75;70;Positive
32;Male;Working Professional;Strategy;0.9;Morning;8.2;7;4;86;87;Positive
25;Male;Working Professional;Action;4.6;Morning;6.7;8;7;80;80;Neutral
20;Female;Working Professional;Simulation;5.2;Evening;5.1;4;9;82;86;Negative
35;Female;Working Professional;Action;3.4;Evening;8.4;2;8;62;67;Neutral
21;Female;Student;Strategy;2.9;Evening;6.3;6;7;66;69;Neutral
18;Male;Working Professional;Puzzle;4.7;Morning;6.7;2;7;75;77;Neutral
35;Male;Student;Casual;0.8;Evening;8.0;3;3;86;82;Positive
27;Female;Working Professional;Sports;5.7;Night;5.2;8;4;89;87;Negative
35;Male;Student;Action;3.0;Morning;5.5;3;5;56;60;Neutral
34;Male;Working Professional;Casual;4.4;Evening;4.7;3;3;76;72;Negative
24;Male;Student;Casual;1.7;Evening;5.0;9;4;85;86;Neutral
30;Female;Student;Strategy;2.4;Morning;6.1;2;8;61;56;Neutral
25;Male;Working Professional;Simulation;1.5;Morning;6.3;8;4;72;74;Neutral
31;Female;Working Professional;Strategy;0.8;Evening;8.5;2;3;70;67;Positive
27;Female;Working Professional;Strategy;5.5;Morning;5.2;2;6;71;73;Negative
19;Female;Student;Action;2.1;Night;8.4;2;8;75;70;Neutral
21;Male;Student;Simulation;0.9;Morning;5.2;3;8;70;71;Neutral
28;Male;Working Professional;Sports;2.8;Morning;6.8;7;5;68;73;Neutral
32;Male;Student;Simulation;4.2;Morning;5.7;7;9;59;54;Negative
27;Male;Working Professional;Simulation;3.3;Night;5.0;7;3;70;70;Neutral
21;Male;Working Professional;Action;2.2;Morning;8.4;2;8;90;89;Neutral
24;Female;Working Professional;Puzzle;4.6;Morning;5.1;6;7;68;68;Negative
22;Female;Student;Casual;1.0;Evening;6.2;6;3;55;55;Neutral
35;Male;Working Professional;Simulation;3.5;Night;6.2;2;3;59;56;Neutral
24;Male;Student;Puzzle;1.3;Night;5.0;6;5;57;57;Neutral
31;Male;Student;Casual;5.4;Evening;6.1;4;4;65;62;Neutral
30;Male;Working Professional;Strategy;4.8;Morning;6.1;5;5;65;61;Neutral
18;Male;Working Professional;Puzzle;5.0;Evening;6.3;6;9;69;67;Neutral
35;Female;Student;Action;5.3;Evening;8.4;6;5;87;88;Neutral
31;Female;Working Professional;Sports;1.5;Night;8.4;6;3;61;65;Positive
18;Male;Working Professional;Sports;5.9;Morning;5.0;5;5;57;58;Negative
34;Female;Working Professional;Puzzle;5.7;Evening;8.2;7;8;62;61;Neutral
23;Female;Working Professional;Simulation;4.3;Morning;6.7;5;6;79;84;Neutral
24;Female;Student;Casual;2.2;Morning;5.3;7;6;83;85;Neutral
27;Male;Student;Strategy;2.1;Morning;7.2;7;3;70;75;Neutral
24;Female;Working Professional;Sports;0.8;Morning;8.4;3;6;81;86;Positive
23;Female;Student;Simulation;1.3;Morning;7.3;3;9;82;80;Positive
34;Female;Working Professional;Simulation;5.5;Night;5.0;4;9;84;89;Negative
26;Male;Working Professional;Simulation;5.4;Evening;6.2;9;4;85;87;Neutral
26;Female;Working Professional;Simulation;3.9;Morning;5.6;3;8;73;71;Neutral
31;Female;Working Professional;Simulation;1.3;Evening;5.4;4;8;68;64;Neutral
30;Female;Student;Puzzle;2.8;Evening;5.3;8;6;92;87;Neutral
25;Female;Student;Puzzle;4.6;Evening;7.9;8;7;89;93;Neutral
22;Male;Working Professional;Simulation;3.2;Night;6.1;8;8;65;67;Neutral
19;Female;Working Professional;Puzzle;4.1;Morning;4.8;8;4;84;81;Negative
20;Female;Student;Casual;3.0;Night;5.9;8;5;81;80;Neutral
19;Male;Student;Strategy;0.8;Morning;8.3;5;8;59;64;Positive
24;Female;Working Professional;Puzzle;3.9;Morning;5.5;9;8;62;66;Neutral
21;Male;Working Professional;Simulation;3.8;Night;8.4;3;9;65;64;Neutral
25;Male;Working Professional;Casual;5.5;Night;6.0;5;3;92;97;Neutral
29;Male;Working Professional;Action;4.9;Evening;7.7;2;5;89;90;Neutral
31;Male;Working Professional;Simulation;5.0;Night;4.9;7;8;84;81;Negative
26;Female;Student;Sports;4.8;Night;6.4;6;5;70;66;Neutral
33;Male;Working Professional;Puzzle;3.9;Evening;6.0;2;6;75;72;Neutral
24;Male;Student;Casual;2.0;Evening;6.9;6;7;55;58;Neutral
18;Male;Working Professional;Strategy;3.2;Evening;7.5;9;8;86;88;Neutral
29;Female;Working Professional;Puzzle;4.3;Night;5.7;7;6;90;93;Negative
21;Male;Student;Strategy;3.0;Night;5.7;5;3;67;67;Neutral
